	x_1	x_2	x_3	x_4	x_5	x_6	x_7	x_8	x_9	x_10	y
0	-3.2617098391926325	-2.6486952294859747	0.844384810048941	-2.7466725431443555	-2.912812298589952	-3.159417036938129	-2.6927524527411175	-3.0486533723837126	-2.5475653354679624	-2.874850986759166	68.66468731653408
1	-2.8503665592436414	-3.213864154280557	0.6445051494348999	-2.850956662644439	-2.8697358309480068	-2.8984065969524724	-2.3883612746645566	-3.1189938983294865	-2.500496967600235	-2.946729739741173	68.54715644656592
2	-3.7627652218669283	-2.952125921533902	0.35820692699582496	-3.090074667551843	-3.0374187810619304	-2.9307099195192534	-3.289480646158202	-3.2271384423692275	-2.5684388732850425	-3.030908602259432	68.21794458699358
3	-3.309782198104432	-3.191944569311682	0.86954681551549	-3.538692635077858	-3.702108245249284	-3.500194540100163	-2.791319850485529	-3.269241792233557	-2.533061894306602	-3.125002747012892	68.17994061630478
4	-3.281766367412998	-2.6380606782537503	1.2129876060618174	-2.907436079619486	-3.190879766289381	-2.946625752218537	-2.9597799442964092	-3.24895997797742	-2.330742027720846	-3.0865065303476764	68.16136977878337
5	-2.854736089988129	-3.1793955254120174	0.9817126752370677	-2.815847782361402	-2.910441304376448	-3.2216580465759583	-2.277337551687081	-3.2481567356842693	-2.6326458364450427	-2.9244312226693547	68.15022655023552
6	-3.69548936804644	-2.6074153673374156	0.4767976734363901	-2.9288297771493244	-3.788635637281527	1.954380634477384	-2.8473856279008887	-3.2171937284278895	-2.549548715612899	-3.062035056363419	68.09864339475007
7	-2.6499970502716104	-3.1835851801765114	0.7213399505757945	-2.9040965189063845	-3.6363506898315197	1.73033679818798	-3.0944241855020556	-3.2027645851606485	-2.553783313313279	-2.971758778971614	67.93078724485555
8	-3.760230560063813	-3.051950876415029	0.5758077363602346	-3.1675604115920253	-3.1276622207481055	-2.9615214227229862	-3.3009559552806453	-3.153437155213945	-2.6222888988059316	-2.8862200833278964	67.89982905110315
9	-3.1642441551720926	-3.223636908331218	0.9491666453641793	-2.8309273710730123	-3.0598471222528487	-3.1232458068153455	-3.1894843947695937	-3.0894904507351226	-2.1591695560991138	-3.000236215704144	67.74331226412315
10	-3.358168911922832	-2.8484931627143006	2.3347771772687147	-3.438646480527447	-2.9960810785445875	-3.112222476919697	-2.67325006783612	-3.2692558007918864	-2.572416461593451	-2.8970777265928214	67.74258344717337
11	-3.6836143659249574	-2.7306286516424483	0.6192735688176982	-2.9355725978270297	-3.797081428812586	1.9687005032696223	-2.857254084282393	-3.0720248403518533	-2.5800272012394445	-3.050441336388072	67.7186473759437
12	-3.564803230551821	-2.8289886949923386	0.356909229630776	-2.864664028770543	-3.7969000190240765	1.3868729330657856	-2.8881475221733335	-3.0929012614012215	-2.60318522427257	-2.9667254815417627	67.70606740362693
13	-3.789153532729849	-3.0043671315587757	1.0459801952595977	-2.717839284278811	-2.9287576212852757	-3.390078831422236	-1.9937950575594132	-3.199473053791566	-2.5778278516423576	-3.177753113565826	67.62145178611817
14	-3.9918406993509636	-3.219321179383692	1.1631048732727467	-2.7490866130737794	-3.0393719003138386	-3.1890834568125386	-3.2087978213589055	-3.132922809455519	-2.2007259497181644	-2.9084409149481805	67.48463071808689
15	-3.2335612714712116	-2.7998377372802588	0.4801150161559462	-2.842446852988218	-2.8518868374492574	-3.34551803240482	-2.373154644720882	-3.283234576646468	-2.6342042607463663	-2.9586443001900604	67.48037695252063
