Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.20043307981320443,5.4170773010029,0.23840410313917185,0.09700993587699923,0.9993958573784856
Random Forest Regressor,2.3353060893852464,84.56902701702205,2.3181083949497117,10.827281061856139,0.932571628818756
TPOT Regressor,9.850276318518372e-12,2.8706116867542905e-10,7.7563132550053e-12,1.5718833886093475e-22,1.0
Support Vector Regressor,2.9109103604113398,88.15792479931318,3.851171932370809,23.304924379030783,0.8548654013502888
Kernel Ridge Regressor,1.3640951195635167,58.07339679245873,1.313336971894452,3.5856094969618937,0.9776701272747146
K-NN Regressor,4.5909166221187,251.14935114972945,3.835904772422496,35.79068085433944,0.7771086480817627
Gaussian Process Regressor,1.1131215814405991e-09,3.549719688805609e-08,9.843015338029633e-10,2.2078891645156865e-18,1.0
Gradient Boosting Regressor,0.22875907672557821,8.416581156570949,0.2268641782800334,0.10379807057101377,0.9993535833428194
Ensemble Model,1.4723312058176592e-11,5.102949359476805e-10,1.1623392630970899e-11,3.5187917421615687e-22,1.0
